Sample,even,location,logit,animal
252.1.05,0.837750548,gp,1.6415854,252
252.1.08,0.78641616,gp,1.30345667,252
252.1.11,0.718548098,gp,0.93727108,252
252.1.14,0.808016603,gp,1.43717371,252
252.1.16,0.616946011,gp,0.47660557,252
252.2.02,0.731348361,gp,1.00147438,252
252.2.05,0.782282741,gp,1.27901899,252
252.2.08,0.695614294,gp,0.82649966,252
252.2.11,0.833617129,gp,1.61148263,252
252.2.14,0.754682174,gp,1.12374208,252
252.2.16,0.746015329,gp,1.07747223,252
255.1.02,0.719614787,gp,0.94255163,255
255.1.05,0.733748411,gp,1.01372452,255
255.1.08,0.74361528,gp,1.06484468,255
255.1.11,0.672413817,gp,0.71912278,255
255.1.16,0.731881706,gp,1.00419062,255
255.2.02,0.687480793,gp,0.78836796,255
255.2.05,0.800283111,gp,1.38806475,255
255.2.08,0.785882815,gp,1.30028423,255
255.2.11,0.877218025,gp,1.96634534,255
255.2.14,0.670413776,gp,0.7100571,255
255.2.16,0.747082018,gp,1.08310972,255
248.1.02,0.765482396,gp,1.18297556,248
248.1.05,0.821350211,gp,1.52552218,248
248.1.08,0.774549249,gp,1.23417951,248
248.1.11,0.747482026,gp,1.08522783,248
248.1.14,0.844284015,gp,1.69045521,248
248.1.16,0.75854892,gp,1.14474041,248
248.2.02,0.806283234,gp,1.42603796,248
248.2.05,0.727881623,gp,0.98390125,248
248.2.08,0.738815181,gp,1.03981952,248
248.2.11,0.659880226,gp,0.66276051,248
248.2.14,0.854150885,gp,1.76753523,248
248.2.16,0.742415255,gp,1.05855996,248
251.1.02,0.596145583,gp,0.38943044,251
251.1.05,0.599612321,gp,0.40385004,251
251.1.08,0.778415995,gp,1.25645931,251
251.1.11,0.797883062,gp,1.37311562,251
251.1.14,0.757748904,gp,1.14037729,251
251.1.16,0.758415584,gp,1.14401254,251
251.2.02,0.887351567,gp,2.0639695,251
251.2.05,0.7721492,gp,1.22048677,251
251.2.08,0.739081854,gp,1.04120194,251
251.2.11,0.724014877,gp,0.96446498,251
251.2.14,0.79521634,gp,1.3566601,251
251.2.16,0.767882445,gp,1.19639271,251
257.1.02,0.468809633,gp,-0.12492368,257
257.1.05,0.432808894,gp,-0.27040002,257
257.1.11,0.763749027,gp,1.17334455,257
257.1.14,0.775215929,gp,1.23800135,257
257.1.16,0.794949668,gp,1.35502333,257
257.2.02,0.771482519,gp,1.2167013,257
257.2.05,0.778816003,gp,1.2587799,257
257.2.08,0.753215477,gp,1.11583577,257
257.2.11,0.705881171,gp,0.87546304,257
257.2.14,0.738148501,gp,1.03636748,257
257.2.16,0.713347991,gp,0.9117004,257
258.1.02,0.728281632,gp,0.98592171,258
258.1.05,0.412008466,gp,-0.35566865,258
258.1.11,0.560011507,gp,0.24120876,258
258.1.14,0.670813784,gp,0.71186798,258
258.1.16,0.572678434,gp,0.29278755,258
258.2.02,0.544677859,gp,0.17918936,258
258.2.05,0.727881623,gp,0.98390125,258
258.2.08,0.836150515,gp,1.62986041,258
258.2.11,0.713347991,gp,0.9117004,258
258.2.14,0.676413899,gp,0.73733993,258
258.2.16,0.878284714,gp,1.97628622,258
260.1.02,0.795349676,gp,1.35747908,260
260.1.05,0.503610348,gp,0.01444164,260
260.1.08,0.422542016,gp,-0.3123468,260
260.1.11,0.753348813,gp,1.11655321,260
260.1.14,0.786816168,gp,1.30583978,260
260.1.16,0.711747959,gp,0.90388862,260
260.2.02,0.654013439,gp,0.63672797,260
260.2.08,0.753215477,gp,1.11583577,260
260.2.11,0.862017713,gp,1.8321505,260
260.2.14,0.729614992,gp,0.99267009,260
260.2.16,0.896018412,gp,2.15374712,260
